facet,lexical_hits,semantic_hits,both,lex_only,sem_only,agreement_jaccard
pet,29,340,20,9,320,0.05730659025787966
check_in,522,2293,485,37,1808,0.20815450643776823
check_out,82,621,57,25,564,0.08823529411764706
amenities_pool,275,1348,255,20,1093,0.18640350877192982
amenities_wifi,61,109,30,31,79,0.21428571428571427
amenities_breakfast,517,1270,454,63,816,0.34058514628657166
amenities_parking,290,1426,224,66,1202,0.15013404825737264
amenities_gym,36,319,31,5,288,0.09567901234567901
children_extra_bed,139,1951,120,19,1831,0.06091370558375635
know_before_you_go,234,782,185,49,597,0.2226233453670277
