timestamp	hypothesis	weighted_f1	mean_roc_auc	gate_rate	combined_score	kept	C	max_features	positive_margin	negative_margin	min_text_len	staleness_norm_days
2026-04-15T19:58:59Z	baseline	0.8433	0.9842	1.0	0.9161	?	2.0	2500	0.05	0.05	20	365
2026-04-15T19:59:21Z	POSITIVE_MARGIN 0.05→0.10: tighter positive labels to cut label noise on parking+kbyg	0.8386	nan	0.8333	nan	?	2.0	2500	0.1	0.05	20	365
2026-04-15T20:00:00Z	C 2.0→1.0: more regularization to improve generalization on sparse facets	0.8444	0.9821	1.0	0.916	?	1.0	2500	0.05	0.05	20	365
2026-04-15T20:00:22Z	MAX_FEATURES 2500→4000: larger vocab captures more hotel-specific bigrams	0.8431	0.9831	1.0	0.9156	?	2.0	4000	0.05	0.05	20	365
2026-04-15T20:00:49Z	MIN_TEXT_LEN 20→40: filter one-liners, train only on substantive reviews	0.8692	0.9849	1.0	0.9293	?	2.0	2500	0.05	0.05	40	365
2026-04-15T20:01:12Z	MIN_TEXT_LEN 40→60: push text filter further	0.7566	nan	0.8333	nan	?	2.0	2500	0.05	0.05	60	365
2026-04-15T20:01:26Z	C 2.0→5.0: more capacity on cleaner min_text_len=40 data	0.8721	0.985	1.0	0.9308	?	5.0	2500	0.05	0.05	40	365
2026-04-15T20:02:13Z	C 5.0→10.0: push capacity further	0.8764	0.9848	1.0	0.9329	?	10.0	2500	0.05	0.05	40	365
2026-04-15T20:03:05Z	C 10.0→20.0: test ceiling of C on clean data	0.8729	0.9841	1.0	0.9309	?	20.0	2500	0.05	0.05	40	365
2026-04-15T20:03:24Z	NEGATIVE_MARGIN 0.05→0.10: tighter negatives remove ambiguous near-threshold examples	0.9365	0.9882	1.0	0.9641	?	10.0	2500	0.05	0.1	40	365
2026-04-15T20:03:43Z	NEGATIVE_MARGIN 0.10→0.15: push negative label cleaning further	0.9719	0.9894	1.0	0.9823	?	10.0	2500	0.05	0.15	40	365
2026-04-15T20:04:00Z	NEGATIVE_MARGIN 0.15→0.20: test ceiling of negative label cleaning	0.9847	0.9862	1.0	0.9875	?	10.0	2500	0.05	0.2	40	365
2026-04-15T20:04:15Z	NEGATIVE_MARGIN 0.20→0.25: find the ceiling	0.9877	0.9863	1.0	0.989	?	10.0	2500	0.05	0.25	40	365
2026-04-15T20:04:31Z	NEGATIVE_MARGIN 0.25→0.30: test if gains plateau or continue	0.9954	nan	0.6667	nan	?	10.0	2500	0.05	0.3	40	365
2026-04-15T20:04:52Z	MAX_FEATURES 2500→3500: more bigrams with clean neg_margin=0.25 labels	0.9877	0.9846	1.0	0.9884	?	10.0	3500	0.05	0.25	40	365
2026-04-15T20:05:11Z	POSITIVE_MARGIN 0.05→0.07: modest positive label cleaning (0.10 was too aggressive)	0.992	0.9881	1.0	0.9919	?	10.0	2500	0.07	0.25	40	365
