facet,threshold,threshold_type,semantic_hits,lexical_hits,semantic_hit_rate,agreement_jaccard
pet,0.25,grid,2771.0,29.0,0.6773405035443657,0.010465535907614579
pet,0.3,grid,1360.0,29.0,0.3324370569542899,0.021323529411764706
pet,0.35,grid,340.0,29.0,0.08310926423857247,0.05730659025787966
pet,0.4,grid,93.0,29.0,0.022732828159374236,0.14018691588785046
pet,0.45,grid,28.0,29.0,0.0068442923490589095,0.26666666666666666
pet,0.2656,otsu,2387.0,29.0,0.5834759227572721,0.012149141181399247
check_in,0.25,grid,3654.0,522.0,0.8931801515521878,0.14285714285714285
check_in,0.3,grid,3192.0,522.0,0.7802493277927157,0.16135084427767354
check_in,0.35,grid,2293.0,522.0,0.5604986555854314,0.20815450643776823
check_in,0.4,grid,1294.0,522.0,0.3163040821315082,0.2906894100923952
check_in,0.45,grid,588.0,522.0,0.1437301393302371,0.33413461538461536
check_in,0.3594,otsu,2102.0,522.0,0.513810804204351,0.2233100233100233
check_out,0.25,grid,2972.0,82.0,0.72647274505011,0.027245206861755803
check_out,0.3,grid,1658.0,82.0,0.405279882669274,0.04316546762589928
check_out,0.35,grid,621.0,82.0,0.15179662674162797,0.08823529411764706
check_out,0.4,grid,211.0,82.0,0.051576631630408216,0.15354330708661418
check_out,0.45,grid,80.0,82.0,0.01955512099731117,0.13286713286713286
check_out,0.2906,otsu,1916.0,82.0,0.46834514788560255,0.0400832899531494
amenities_pool,0.25,grid,3271.0,275.0,0.7995600097775605,0.0840721491898502
amenities_pool,0.3,grid,2423.0,275.0,0.5922757272060621,0.11120263591433278
amenities_pool,0.35,grid,1348.0,275.0,0.3295037888046932,0.18640350877192982
amenities_pool,0.4,grid,610.0,275.0,0.1491077976044977,0.32286995515695066
amenities_pool,0.45,grid,271.0,275.0,0.06624297237839159,0.39641943734015345
amenities_pool,0.3281,otsu,1775.0,275.0,0.4338792471278416,0.1484593837535014
amenities_wifi,0.25,grid,1767.0,61.0,0.4319237350281105,0.03102086858432036
amenities_wifi,0.3,grid,553.0,61.0,0.13517477389391347,0.07719298245614035
amenities_wifi,0.35,grid,109.0,61.0,0.02664385235883647,0.21428571428571427
amenities_wifi,0.4,grid,25.0,61.0,0.006110975311659741,0.2463768115942029
amenities_wifi,0.45,grid,7.0,61.0,0.0017110730872647274,0.07936507936507936
amenities_wifi,0.2406,otsu,2006.0,61.0,0.4903446590075776,0.027335984095427434
amenities_breakfast,0.25,grid,3187.0,517.0,0.7790271327303838,0.16040100250626566
amenities_breakfast,0.3,grid,2287.0,517.0,0.5590320215106331,0.21648590021691974
amenities_breakfast,0.35,grid,1270.0,517.0,0.31043754583231487,0.34058514628657166
amenities_breakfast,0.4,grid,558.0,517.0,0.13639696895624542,0.4807162534435262
amenities_breakfast,0.45,grid,234.0,517.0,0.05719872891713518,0.40111940298507465
amenities_breakfast,0.3156,otsu,1974.0,517.0,0.48252261060865315,0.24612306153076538
amenities_parking,0.25,grid,3533.0,290.0,0.8636030310437546,0.07994350282485875
amenities_parking,0.3,grid,2637.0,290.0,0.6445856758738695,0.09954921111945905
amenities_parking,0.35,grid,1426.0,290.0,0.34857003177707163,0.15013404825737264
amenities_parking,0.4,grid,588.0,290.0,0.1437301393302371,0.24893314366998578
amenities_parking,0.45,grid,216.0,290.0,0.052798826692740164,0.24938271604938272
amenities_parking,0.3281,otsu,1977.0,290.0,0.4832559276460523,0.12283308568598315
amenities_gym,0.25,grid,2620.0,36.0,0.6404302126619409,0.013740458015267175
amenities_gym,0.3,grid,1216.0,36.0,0.2972378391591298,0.02875924404272802
amenities_gym,0.35,grid,319.0,36.0,0.07797604497677829,0.09567901234567901
amenities_gym,0.4,grid,62.0,36.0,0.015155218772916158,0.2727272727272727
amenities_gym,0.45,grid,21.0,36.0,0.005133219261794182,0.26666666666666666
amenities_gym,0.2719,otsu,1965.0,36.0,0.48032265949645564,0.0183206106870229
children_extra_bed,0.25,grid,3605.0,139.0,0.8812026399413346,0.037694013303769404
children_extra_bed,0.3,grid,3024.0,139.0,0.7391835736983623,0.044239022779795314
children_extra_bed,0.35,grid,1951.0,139.0,0.4769005133219262,0.06091370558375635
children_extra_bed,0.4,grid,775.0,139.0,0.18944023466145196,0.11057108140947752
children_extra_bed,0.45,grid,180.0,139.0,0.04399902224395014,0.17712177121771217
children_extra_bed,0.3219,otsu,2647.0,139.0,0.6470300659985334,0.04934086629001883
know_before_you_go,0.25,grid,2860.0,234.0,0.6990955756538744,0.08068459657701711
know_before_you_go,0.3,grid,1741.0,234.0,0.42556832070398437,0.12728310502283105
know_before_you_go,0.35,grid,782.0,234.0,0.1911513077487167,0.2226233453670277
know_before_you_go,0.4,grid,306.0,234.0,0.07479833781471523,0.3333333333333333
know_before_you_go,0.45,grid,107.0,234.0,0.02615497433390369,0.2490842490842491
know_before_you_go,0.2969,otsu,1807.0,234.0,0.44170129552676607,0.12266226622662266
pet,0.45,selected,,,,
check_in,0.45,selected,,,,
check_out,0.4,selected,,,,
amenities_pool,0.45,selected,,,,
amenities_wifi,0.4,selected,,,,
amenities_breakfast,0.4,selected,,,,
amenities_parking,0.45,selected,,,,
amenities_gym,0.4,selected,,,,
children_extra_bed,0.45,selected,,,,
know_before_you_go,0.4,selected,,,,
